,contrast,f_inf,f_zero
0,-0.2843137254901961,127.94338632010168,17.653919125846404
1,-0.2156862745098039,161.44444660164152,24.757258454388218
2,-0.14803921568627454,190.84840680986144,35.696088011351684
3,-0.07941176470588242,218.63929907456077,470.45475308731557
4,-0.011764705882352951,243.69036724552672,228.25349976769618
5,0.05686274509803926,270.21937096255203,571.4628855836223
6,0.12450980392156863,298.02728628790624,767.1795574897284
7,0.19313725490196085,317.2479271381393,801.8576083160118
8,0.2607843137254902,336.5973092188981,877.1152731775949
9,0.3294117647058824,356.259067509008,878.5329396091598
