,contrast,f_inf,f_zero
0,-0.2015873015873016,192.6640357103973,225.2773797862887
1,-0.14814814814814806,36.38716809379525,20.18043344187881
2,-0.0952380952380952,2.4532119530300425,2.453211953030042
3,-0.04179894179894178,37.032420857809235,9.924123304077774
4,-0.0153439153439153,75.80893598082743,33.541473306317954
5,0.011111111111111181,148.77636608082597,447.48653552827864
6,0.03809523809523813,187.2742584213172,707.196029776677
7,0.06455026455026461,239.32774495032467,685.4738883659871
8,0.09100529100529098,259.3007605952141,686.5177832919788
9,0.11798941798941805,305.6089651075355,699.332908676624
10,0.170899470899471,349.7031810500062,680.1077561983276
