cell,EODf,a_zero,delta_a,dend_tau,input_scaling,mem_tau,noise_strength,ref_period,deltat,tau_a,threshold,v_base,v_offset,v_zero
2011-10-25-ad-invivo-1,760.50,60.70561732896827,0.15752867579184138,0.004075295861125333,301.37869129345717,0.0029012439225658054,0.02968073683628557,0.0007434544009651972,5e-05,0.11607744742342971,1,0,-34.375,0
2012-04-20-ak-invivo-1,826.07,142.73039605053253,0.34408674592921096,0.0042905816022802655,373.7425313488243,0.0017358116367672107,0.016121166740672717,0.0009347144390364768,5e-05,0.2949535420035986,1,0,21.875,0
2012-05-10-ad-invivo-1,891.62,54.35949425221348,0.2757269324823284,0.002212629651926991,267.1813908864623,0.0020271803274778837,0.04639531598766483,0.0010968397753966439,5e-05,0.18200366151430486,1,0,-31.25,0
2012-06-27-ah-invivo-1,752.07,28.875515577269294,0.20525468484541842,0.010612629869418248,554.4436702347741,0.0017107204697516367,0.0271472345939834,0.0012084459280246903,5e-05,0.11784186849482106,1,0,-148.4375,0
2012-06-27-an-invivo-1,786.29,2.7860389486251593,0.029391448491264804,0.003985634602834923,26.682508784285027,0.001376526707110581,0.003604805695367027,0.0008998947426172306,5e-05,0.13036159256315194,1,0,-4.8828125,0
2012-07-03-ak-invivo-1,928.45,1.1337603254658657,0.009636823781567081,0.0011835211027475872,10.551593612226277,0.0013790127193975233,0.0013081636418144473,0.00011600868359679133,5e-05,0.09604613888260315,1,0,-1.318359375,0
2012-07-12-ag-invivo-1,744.95,3.695738241953972,0.03623619132514362,0.0018084515871059888,14.377436485984251,0.0011056964083457424,0.0041125372009629575,0.0011502269812458804,5e-05,0.11156737983241918,1,0,-0.09765625,0
2012-07-12-ap-invivo-1,772.92,14.804318060119332,0.08421508191399865,0.0013221092024793385,44.13667585034951,0.0014555506316246737,0.016159465360721062,0.00097403156684423,5e-05,0.0714312935754097,1,0,1.171875,0
2012-12-13-af-invivo-1,673.56,23.495808141911642,0.1324559007885552,0.010031950746925707,427.7951451118343,0.003903660950040095,0.018153856801854964,0.0009569332571649322,5e-05,0.13755336036983307,1,0,-111.71875,0
2012-12-13-ag-invivo-1,667.87,6.068162568399253,0.04457966769738088,0.0015238677109309317,95.4247123304821,0.008828103211532368,0.058328886422159346,0.0005315865912276251,5e-05,0.2705776489276024,1,0,-22.65625,0
2012-12-13-ah-invivo-1,664.70,28.779813371047524,0.16049265233555093,0.01314225632311085,365.45335373877225,0.0011890432540278138,0.014044744413304281,0.0014219606674122764,5e-05,0.1350142793970573,1,0,-87.5,0
2012-12-13-an-invivo-1,657.91,5.882031759118175,0.04039473751171167,0.0010943455482541305,34.97293775924098,0.00840653252077676,0.011930762509990065,0.0009063094776245706,5e-05,0.15827189878445574,1,0,-3.515625,0
2012-12-13-ao-invivo-1,657.82,3.2813550587302758,0.02199424769500702,0.001372234851698214,16.707319333864564,0.00221210217479549,0.007347109401659321,0.0008575662334429958,5e-05,0.05671867775854021,1,0,-1.26953125,0
2012-12-20-aa-invivo-1,668.32,5.156967843782446,0.041892804789406254,0.0022289499682628827,75.29252126936278,0.004610691275642634,0.015289339021113523,6.124940707783572e-05,5e-05,0.06934519088797113,1,0,-17.96875,0
