,contrast,f_inf,f_zero
0,-0.3006329113924051,30.421555851799592,13.56975679680817
1,-0.22088607594936707,56.79655237376332,25.96486822032087
2,-0.18101265822784812,68.32649516386078,36.553754304087526
3,-0.14113924050632917,80.40743781394627,43.457002236487284
4,-0.10126582278481021,92.74071353768441,59.13427736481382
5,-0.06075949367088613,103.02202465945254,73.70071093625175
6,-0.020886075949367176,114.82031640416982,166.34713329004302
7,0.018987341772151913,126.76684393704797,149.3878911122928
8,0.05886075949367087,138.96526659055888,225.70442597255942
9,0.09873417721518982,154.10561081887718,253.9181226429144
10,0.13860759493670877,166.36299553932704,479.8415967319214
11,0.17848101265822786,177.02035689445287,594.0465549521819
12,0.2588607594936709,244.9847881808699,715.5125330049501
