,contrast,f_inf,f_zero
0,-0.1976982097186701,104.08503795663862,49.67417248992303
1,-0.17084398976982101,109.61982980100763,53.49739967207889
2,-0.1442455242966752,115.43295198329288,65.52698128584734
3,-0.1173913043478261,120.5317323912187,77.73629198932765
4,-0.09053708439897701,128.34950223515852,81.12232658332721
5,-0.0639386189258312,134.2591386941272,110.69711225723954
6,-0.0370843989769821,139.28816463945049,118.76896123119604
7,-0.010485933503836298,145.2667181692061,204.92819015138693
8,0.0163682864450128,152.1885941709476,151.40174203519558
9,0.0429667519181586,160.4002857156322,209.4481937088882
10,0.06982097186700759,163.77241619443353,231.87685387500397
11,0.0966751918158568,169.0188978860951,262.92782911703523
12,0.12327365728900261,177.49771263499446,336.97829219209535
13,0.17672634271099738,187.17641887634096,346.83827835850815
