,contrast,f_inf,f_zero
0,-0.2027777777777778,121.17865403313075,69.6137738669957
1,-0.15833333333333333,124.39808776966524,74.99449034317534
2,-0.11388888888888885,127.58467844571612,91.55671348633369
3,-0.06944444444444435,129.40230601828497,139.02439392928767
4,-0.025000000000000022,130.58605402635686,124.68727242838459
5,0.019444444444444462,135.41203108400916,219.42206743185085
6,0.06250000000000006,141.1357592911801,220.4676849058263
7,0.10694444444444455,142.8755508212139,144.53411463131454
8,0.15138888888888888,147.4501724474564,239.90946108874135
9,0.19583333333333336,149.9359540324266,252.49945351995856
