,contrast,f_inf,f_zero
0,-0.1989304812834225,24.28833338357895,7.101126480821404
1,-0.14545454545454545,51.38646200188639,26.981742435069037
2,-0.11871657754010705,58.59778302425521,25.345699358800296
3,-0.09197860962566852,77.62802332279993,41.929119950418695
4,-0.06524064171123001,91.11144708012033,53.45326721126274
5,-0.039037433155080306,111.1984107348097,68.88396526830213
6,-0.012299465240641782,123.91654670832905,103.74377169603652
7,0.014438502673796745,150.35317672737003,203.80470419608312
8,0.041176470588235266,167.4780367108457,264.67027023081585
9,0.0679144385026738,190.37167571535446,353.16571878154343
10,0.09465240641711233,210.98342060113026,415.14273789878337
11,0.12139037433155073,229.70006076192124,409.8746088824544
12,0.14812834224598914,251.09666508685316,426.1547348735131
13,0.17486631016042778,269.73216255633247,562.5052704907496
