,contrast,f_inf,f_zero
0,-0.24209039548022604,11.558655142879093,4.254838897024278
1,-0.19152542372881354,28.01420577984349,9.81329606068429
2,-0.14096045197740115,54.32567593483952,16.360607127404084
3,-0.09039548022598866,83.25906949941796,28.447525344274034
4,-0.06525423728813555,80.81318445814728,29.793472212220216
5,-0.04011299435028246,117.62448644561886,80.84454335719636
6,-0.014689265536723176,119.94042703361247,93.10991836464738
7,0.010451977401129922,149.92795494763746,253.8755949587421
8,0.035875706214689204,147.94091188772327,274.49059892082704
9,0.0610169491525423,180.12047106009288,395.2810142214274
10,0.0864406779661017,179.72677464542713,448.0031959591468
11,0.1115819209039548,207.09390980793347,511.54909735228136
