,contrast,f_inf,f_zero
0,-0.3,105.25687510395709,27.731155408735866
1,-0.296969696969697,112.02890189494339,29.010724663919653
2,-0.15151515151515146,129.9355778741171,47.87940634795174
3,-0.14848484848484844,126.83708451110009,45.24957109361765
4,0.0,149.89733009550613,150.8876701043338
5,0.003030303030303033,152.84236894850812,154.58021369829348
6,0.14848484848484844,179.07654413458812,447.46034152380514
7,0.1545454545454545,179.21843778421888,464.7671657779962
8,0.29999999999999993,206.84673484298523,673.0980896498145
9,0.3030303030303029,203.5340542082842,699.2056474815089
