,contrast,f_inf,f_zero
0,-0.20138888888888892,190.7341522958918,42.100557203664856
1,-0.15694444444444444,206.55783518198774,53.38143094988428
2,-0.11249999999999995,218.16557072890043,65.07934290051051
3,-0.06944444444444435,230.1304810252266,216.30748638533203
4,-0.025000000000000022,243.81643697698308,250.31477938648655
5,0.019444444444444462,254.26127965580184,423.69339887361673
6,0.06388888888888895,269.29026848012256,627.092067669399
7,0.10833333333333343,280.1488130677579,630.4099687558343
8,0.15277777777777776,290.81291250511646,764.8820602529013
9,0.19722222222222224,306.1284768059119,827.4619905054718
