,contrast,f_inf,f_zero
0,-0.20625000000000007,280.4409617464398,67.8745068073643
1,-0.17946428571428577,297.8574545783582,73.87758835766965
2,-0.1535714285714287,306.2962591810658,90.4248785179906
3,-0.1267857142857144,325.73452458167833,108.78973277901727
4,-0.10000000000000007,336.2656983951182,145.24002766525768
5,-0.07410714285714301,356.4357466101789,189.97064256014244
6,-0.04732142857142871,364.07504964201246,240.40054595610167
7,-0.021428571428571446,388.7753673971164,273.6070350008529
8,0.005357142857142663,399.36947278226245,408.82249440012964
9,0.03214285714285697,418.79985881720296,627.4703678233795
10,0.05803571428571423,431.96560080359217,693.9546405063631
11,0.11160714285714285,468.8187291720705,739.7510280268868
12,0.16428571428571423,502.9848347527674,754.5047927806578
