,contrast,f_inf,f_zero
0,-0.5130434782608696,318.3498072549021,647.238493745747
1,-0.4043478260869565,284.94191095697715,676.5010709502957
2,-0.2967391304347826,240.03878104921137,670.6725327726484
3,-0.1880434782608696,207.03445683547838,635.0198588390851
4,-0.07934782608695659,164.10780005655982,406.5884212967779
5,0.028260869565217294,128.19807051378618,33.5818516790612
6,0.13695652173913042,90.40240201488423,124.41931761475463
7,0.24565217391304334,59.16877555296186,9.511792569460487
8,0.35326086956521746,39.14463164342246,7.800530834382241
9,0.4619565217391303,26.456749042199213,76.4418542220359
