,contrast,f_inf,f_zero
0,-0.2948717948717948,132.1570532336432,43.64370956337132
1,-0.25384615384615394,140.02014902423144,50.217992567889546
2,-0.21282051282051287,144.35964155154525,54.98053130915775
3,-0.1717948717948718,152.1992333364634,59.12796309448727
4,-0.1333333333333333,152.72251077283104,83.90212147370673
5,-0.09230769230769238,163.95346056153946,153.83274001295854
6,-0.05128205128205133,168.3155590381685,108.65306310372162
7,-0.010256410256410265,177.11699216484416,171.78564941248146
8,0.02820512820512823,181.37823725728313,184.7408338558999
9,0.06923076923076915,189.0798325951881,355.0631923730568
10,0.11025641025641021,195.64849401568299,478.27306465127714
11,0.15128205128205127,206.20261185225138,476.7000222264235
12,0.18974358974358976,213.36038527838025,549.570965773146
13,0.2717948717948717,230.31758700629862,607.7743816523221
